Title,Author,Year,Country,Region,Continent,Read,OriginalLanguage,Pages,Description,Tags,Category
Beloved,Toni Morrison,1987,USA,Northern America,North America,,English,330,"Nominated as one of America’s best-loved novels by PBS’s The Great American Read Staring unflinchingly into the abyss of slavery, this spellbinding novel transforms history into a story as powerful as Exodus and as intimate as a lullaby. Sethe, its protagonist, was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. And Sethe’s new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved. Filled with bitter poetry and suspense as taut as a rope, Beloved is a towering achievement.",,Novel
The Heart Is a Lonely Hunter,Carson McCullers,1940,USA,Northern America,North America,,English,320,"Set in a quiet mill town in Georgia in the 1930s, this classic American southern gothic novel centers on John Singer, a lonely deaf-mute man who becomes the confidant for four disparate townspeople. Each of these characters—a rebellious young girl, an idealistic black doctor, a radical labor activist, and a quiet cafe owner—projects their deepest hopes and frustrations onto Singer, believing he understands them. Through their intersecting lives, McCullers explores the painful themes of spiritual isolation, class conflict, racial injustice, and the human search for connection.",,Novel
American Pastoral,Philip Roth,1997,USA,Northern America,North America,,English,432,"Seymour Swede Levov - a legendary high school athlete, a devoted family man, a hard worker, the prosperous inheritor of his father's Newark glove factory - comes of age in thriving, triumphant postwar America. But everything he loves is lost when the country begins to run amok in the turbulent 1960s. Not even the most private, well-intentioned citizens, it seems, gets to sidestep the sweep of history. American Pastoral is the story of a fortunate American's rise and fall - of a strong, confident master of social equilibrium overwhelmed by the forces of social disorder. For the Swede is not allowed to stay forever blissful inside the beloved hundred-and-seventy-year-old stone farmhouse, in rural Old Rimrock, where he lives with his pretty wife - the college sweetheart who was Miss New Jersey of 1949 - and the lively, precocious daughter who is the apple of his eye. The apple of his eye, that is, until she grows up to be a revolutionary terrorist bent on destroying her father's paradise. American Pastoral presents a vivid portrait of how the innocence of Swede Levov is swept away by the times - of how everything industriously created by his family in America over three generations is left in a shambles by the explosion of a bomb in his own bucolic backyard.",,Novel
Invisible Man,Ralph Ellison,1952,USA,Northern America,North America,,English,480,"Ralph Ellison's blistering and impassioned first novel, winner of the prestigious National Book Award, tells the extraordinary story of a man invisible 'simply because people refuse to see me.' Published in 1952 when American society was on the cusp of immense change, the powerfully depicted adventures of Ellison's invisible man - from his expulsion from a Southern college to a terrifying Harlem race riot - go far beyond the story of one individual. As John Callahan says, 'In an extrarordinary imaginative leap, he hit upon the single word for the different yet shared condition of African Americans, Americans, and, for that matter, the human individual in the 20th century, and beyond'. This edition includes Ralph Ellison's introduction to the thirtieth anniversary edition of Invisible Man, a fascinating account of the novel's seven year gestation.",,Novel
Blood Meridian,Cormac McCarthy,1985,USA,Northern America,North America,,English,368,"The fulfilled renown of Moby-Dick and of As I Lay Dying is augmented by Blood Meridian, since Cormac McCarthy is the worthy disciple both of Melville and Faulkner, writes esteemed literary scholar Harold Bloom in his Introduction to the Modern Library edition. I venture that no other living American novelist, not even Pynchon, has given us a book as strong and memorable. Cormac McCarthy's masterwork, Blood Meridian, chronicles the brutal world of the Texas-Mexico borderlands in the mid-nineteenth century. Its wounded hero, the teenage Kid, must confront the extraordinary violence of the Glanton gang, a murderous cadre on an official mission to scalp Indians and sell those scalps. Loosely based on fact, the novel represents a genius vision of the historical West, one so fiercely realized that since its initial publication in 1985 the canon of American literature has welcomed Blood Meridian to its shelf. A classic American novel of regeneration through violence, declares Michael Herr. McCarthy can only be compared to our greatest writers. From the Hardcover edition.",,Novel
Herzog,Saul Bellow,1964,USA,Northern America,North America,,English,371,"This is the story of Moses Herzog, a great sufferer, joker, mourner, and charmer. Although his life steadily disintegrates around him - he has failed as a writer and teacher, as a father, and has lost the affection of his wife to his best friend - Herzog sees himself as a survivor, both of his private disasters and those of the age. He writes unsent letters to friends and enemies, colleagues and famous people, revealing his wry perception of the world around him, and the innermost secrets of his heart.",,Novel
The Great Gatsby,F. Scott Fitzgerald,1925,USA,Northern America,North America,1,English,185,"The only authorized edition of the twentieth-century classic, featuring F. Scott Fitzgerald’s final revisions, a foreword by his granddaughter, and a new introduction by National Book Award winner Jesmyn Ward.The Great Gatsby, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. First published in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted “gin was the national drink and sex the national obsession,” it is an exquisitely crafted tale of America in the 1920s.",,Novel
The Portrait of a Lady,Henry James,1881,USA,Northern America,North America,,English,608,"The Portrait of a Lady, by Henry James, is part of the Barnes & Noble Classics series, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of Barnes & Noble Classics: New introductions commissioned from today's top writers and scholars Biographies of the authors Chronologies of contemporary historical, biographical, and cultural events Footnotes and endnotes Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work Comments by other famous authors Study questions to challenge the reader's viewpoints and expectations Bibliographies for further reading Indices & Glossaries, when appropriate All editions are beautifully designed and are printed to superior specifications; some include illustrations of historical interest. Barnes & Noble Classics pulls together a constellation of influences—biographical, historical, and literary—to enrich each reader's understanding of these enduring works. Widely regarded as Henry James’s greatest masterpiece, The Portrait of a Lady features one of the author’s most magnificent heroines: Isabel Archer, a beautiful, spirited American who becomes a victim of her provincialism during her travels in Europe. As the story begins, Isabel, resolved to determine her own fate, has turned down two eligible suitors. Her cousin, who is dying of tuberculosis, secretly gives her an inheritance so that she can remain independent and fulfill a grand destiny, but the fortune only leads her to make a tragic choice and marry Gilbert Osmond, an American expatriate who lives in Florence. Outwardly charming and cultivated, but fundamentally cold and cruel, Osmond only brings heartbreak and ruin to Isabel’s life. Yet she survives as she begins to realize that true freedom means living with her choices and their consequences. Richly complex and nearly aesthetically perfect, The Portrait of a Lady brilliantly portrays the clash between the innocence and exuberance of the New World and the corruption and wisdom of the Old. Gabriel Brownstein is the author of a collection of stories—The Curious Case of Benjamin Button, Apt 3W—which won the 2002 PEN/Hemingway Award. His essays, reviews, and criticism have appeared in the Boston Globe, the New Leader, Scribner’s British Writers, and on Nerve.com.",,Novel
The Sun Also Rises,Ernest Hemingway,1926,USA,Northern America,North America,1,English,249,"This new edition of The Sun Also Rises celebrates the art and craft of Hemingway’s quintessential story of the Lost Generation—presented by the Hemingway family with illuminating supplementary material from the Hemingway Collection at the John F. Kennedy Library.The Sun Also Rises is a classic example of Hemingway’s spare but powerful writing style. A poignant look at the disillusionment and angst of the post-World War I generation, the novel introduces two of Hemingway’s most unforgettable characters: Jake Barnes and Lady Brett Ashley. The story follows the flamboyant Brett and the hapless Jake as they journey from the wild nightlife of 1920s Paris to the brutal bullfighting rings of Spain with a motley group of expatriates. It is an age of moral bankruptcy, spiritual dissolution, unrealized love, and vanishing illusions. First published in 1926, The Sun Also Rises is “an absorbing, beautifully and tenderly absurd, heartbreaking narrative…a truly gripping story, told in lean, hard, athletic prose” (The New York Times). This new Hemingway Library Edition celebrates Hemingway’s classic novel with a personal foreword by Patrick Hemingway, the author’s sole surviving son, and a new introduction by Sean Hemingway, grandson of the author. Hemingway considered the extensive rewriting that he did to shape his first novel the most difficult job of his life. Early drafts, deleted passages, and possible titles included in this new edition elucidate how the author achieved his first great literary masterpiece.",,Novel
Death Comes for the Archbishop,Willa Cather,1927,USA,Northern America,North America,,English,299,"Willa Cather's best known novel is an epic--almost mythic--story of a single human life lived simply in the silence of the southwestern desert. In 1851 Father Jean Marie Latour comes to serve as the Apostolic Vicar to New Mexico. What he finds is a vast territory of red hills and tortuous arroyos, American by law but Mexican and Indian in custom and belief. In the almost forty years that follow, Latour spreads his faith in the only way he knows--gently, all the while contending with an unforgiving landscape, derelict and sometimes openly rebellious priests, and his own loneliness. Out of these events, Cather gives us an indelible vision of life unfolding in a place where time itself seems suspended.BONUS: The edition includes an excerpt from The Selected Letters of Willa Cather.",,Novel
Wise Blood,Flannery O’Connor,1952,USA,Northern America,North America,,English,160,"Wise Blood, Flannery O’Connor’s astonishing and haunting first novel, is a classic of twentieth-century literature. Focused on the story of Hazel Motes, a twenty-two-year-old caught in an unending struggle against his innate, desperate fate, this tale of redemption, retribution, false prophets, blindness, blindings, and wisdoms gives us one of the most riveting characters in twentieth-century American fiction.Amazon.com ReviewWise Blood is a comedy with a fierce, Old Testament soul. Flannery O'Connor has no truck with such newfangled notions as psychology. Driven by forces outside their control, her characters are as one-dimensional--and mysterious--as figures on a frieze. Hazel Motes, for instance, has the temperament of a martyr, even though he spends most of the book trying to get God to go away. As a child he's convinced that the way to avoid Jesus was to avoid sin. When that doesn't work, and when he returns from Korea determined to be converted to nothing instead of evil, he still can't go anywhere without being mistaken for a preacher. (Not that the hat and shiny glare-blue suit help.) No matter what Hazel does, Jesus moves from tree to tree in the back of his mind, a wild ragged figure motioning him to turn around and come off into the dark...Adrift after four years in the service, Hazel takes a train to the city of Taulkinham, buys himself a rat-colored car, and sets about preaching on street corners for the Church Without Christ, where the blind don't see and the lame don't walk and what's dead stays that way. Along the way he meets Enoch Emery, who's only 18 years old but already works for the city, as well the blind preacher Asa Hawks and his illegitimate daughter, Sabbath Lily. (Her letter to an advice column: Dear Mary, I am a bastard and a bastard shall not enter the kingdom of heaven as we all know, but I have this personality that makes boys follow me. Do you think I should neck or not?) Subsequent events involve a desiccated, centuries-old dwarf--Gonga the Giant Jungle Monarch--and Hazel's nemesis, Hoover Shoats, who starts the rival Church of Christ Without Christ. If you think these events don't end happily, you might be right.Wise Blood is a savage satire of America's secular, commercial culture, as well as the humanism it holds so dear (Dear Sabbath, Mary Brittle writes back, Light necking is acceptable, but I think your real problem is one of adjustment to the modern world. Perhaps you ought to re-examine your religious values to see if they meet your needs in Life.) But the book's ultimate purpose is Religious, with a capital R--no metaphors, no allusions, just the thing itself in all its fierce glory. When Hazel whispers I'm not clean, for instance, O'Connor thinks he is perfectly right. For readers unaccustomed to holding low comedy and high seriousness in their heads at the same time, all this can come as something of a shock. Who else could offer an allegory about free will, redemption, and original sin right alongside the more elemental pleasure of witnessing Enoch Emery dress up in a gorilla suit? Nobody else, that's who. And that's OK. More than one Flannery O'Connor in this world might show us more truth than we could bear. --Mary ParkFrom Publishers WeeklyStarred Review. Bronson Pinchot turns in a virtuosic performance of O'Connor's darkly comic classic first novel. After serving a stint in the army, Hazel Motes finds himself adrift, alone, and rent by spiritual confusion. Pinchot's narration is superb: dynamic, well paced, and infused with a perfect Southern drawl. Instead of simply creating voices for the characters, Pinchot embodies them. His Hazel is nasty, nasally, and angry; his Enoch Emery boasts a congested twang; and the entire cast is likewise brought to life by Pinchot's precise and perceptive characterizations and his brilliant evocation of O'Conner's grotesqueries. A Farrar, Straus, and Giroux paperback. (Aug.) (c) Copyright PWxyz, LLC. All rights reserved.",,Novel
Their Eyes Were Watching God,Zora Neale Hurston,1937,USA,Northern America,North America,,English,231,"Zora Neale Hurston's classic 1937 novel follows Janie's quest for identity -- a journey during which she learns what love is, experiences life's joys and sorrows, and comes home to herself in peace. “There is no book more important to me than this one.” --Alice Walker“Their Eyes belongs in the same category with [the works of] William Faulkner, F. Scott Fitzgerald, and Ernest Hemingway, that of enduring American literature.” --Saturday Review",,Novel
Housekeeping,Marilynne Robinson,1980,USA,Northern America,North America,,English,224,"Winner of the Pen/Hemingway AwardA modern classic, Housekeeping is the story of Ruth and her younger sister, Lucille, who grow up haphazardly, first under the care of their competent grandmother, then of two comically bumbling great-aunts, and finally of Sylvie, the eccentric and remote sister of their dead mother. The family house is in the small town of Fingerbone on a glacial lake in the Far West, the same lake where their grandfather died in a spectacular train wreck and their mother drove off a cliff to her death. It is a town chastened by an outsized landscape and extravagant weather, and chastened again by an awareness that the whole of human history had occurred elsewhere. Ruth and Lucille's struggle toward adulthood beautifully illuminates the price of loss and survival, and the dangerous and deep undertow of transcience.",,Novel
The Awakening,Kate Chopin,1899,USA,Northern America,North America,,English,128,,,Novella
Gravity's Rainbow,Thomas Pynchon,1973,USA,Northern America,North America,,English,810,"Winner of the 1973 National Book Award, Gravity's Rainbow is a postmodern epic, a work as exhaustively significant to the second half of the 20th century as Joyce's Ulysses was to the first. Its sprawling, encyclopedic narrative, and penetrating analysis of the impact of technology on society make it an intellectual tour de force.",,Novel
The Railway,Hamid Ismailov,1997,Uzbekistan,Central Asia,Asia,,Uzbek,336,"In the steppe near Tashkent they came upon a never-ending ladder with wooden rungs and iron rails that stretched across the earth from horizon to horizon...Whistling and thundering, a snake-like wonder hurtled past them, packed both on the inside and on top with infidels shouting and waving their hands. 'The End of the World!' thought both Mahmud-Hodja the Sunni and Djebral the Shiite. Set in Uzbekistan between 1900 and 1980, The Railway introduces to us the inhabitants of the small town of Gilas on the ancient Silk Route. Their colorful lives offer a picture of a little-known land populated by outgoing Mullahs, incoming Bolsheviks, and a plethora of Uzbeks, Russians, Persians, Jews, Koreans, Tatars, and Gypsies. At the heart of both the town and the novel stands the railway station—a source of income and influence, and a connection to the world beyond. The Railway is a picaresque chronicle of the changes felt in Central Asia in the early twentieth...",,Novel
Night and Day,Abdulhamid Cho‘lpon,1936,Uzbekistan,Central Asia,Asia,,Uzbek,300,"Review'Together these ten volumes make an attractive and reasonably priced (the volumes vary between L3.99 and L4.99) working edition of Virginia Woolf's best-known writing. One can only hope that their success will prompt World's Classics to add her other essays to the series in due course.' Elisabeth Jay, Westminster College, Oxford, Review of English Studies, Vol. XLV, No. 178, May '94 Product DescriptionKatharine Hilbery is beautiful and privileged but uncertain of her future. She must choose between becoming engaged to the oddly prosaic poet William, and her dangerous attraction to the lower-class Ralph. As she struggles to decide, the lives of two other women - women's rights activist Mary Datchet and Katharine's mother, struggling to weave together the documents, events and memories of her father's life into a biography - impinge on hers with unexpected and intriguing consequences. Virginia Woolf's light, delicate second novel is both a love story and a social comedy, yet it also subtly undermines these traditions, questioning a woman's role and the very nature of experience.",,Novel
Doña Barbara,Romulo Gallegos,1929,Venezuela,South America,South America,,Spanish,300,,,Novel
Novel Without a Name,Duong Thu Huong,1991,Vietnam,South-Eastern Asia,Asia,,Vietnamese,292,"A powerful, disillusioning novel about the Vietnam War from the perspective of Quan, a young North Vietnamese soldier. Having spent ten years fighting in the jungle, Quan is sent on a mission that takes him back to his home village, forcing him to confront the devastating loss of his youth, his ideals, and the humanity of his comrades in a war that has lost its meaning.",,Novel
The Sorrow of War,Bao Ninh,1990,Vietnam,South-Eastern Asia,Asia,,Vietnamese,233,"During the Vietnam War Bao Ninh served with the Glorious 27th Youth Brigade. Of the five hundred men who went to war with the brigade in 1969, he is one of only ten who survived. The Sorrow of War is his autobiographical novel. Kien works in a unit that recovers soldiers' corpses. Revisiting the sites of battles raises emotional ghosts for him and the memory of war scenes are juxtaposed with dreams and remembrances of his childhood sweetheart. The Sorrow of War burns the tragedy of war in our minds.",,Novel
Paradise of the Blind,Duong Thu Huong,1988,Vietnam,South-Eastern Asia,Asia,,Vietnamese,272,"The first Vietnamese novel translated into English, this poignant work is narrated by Hang, a young woman working as an guest worker in the Soviet Union. Through her recollections, Hang reconstructs her childhood in a Hanoi slum and her mother's desperate, destructive sacrifices to support a corrupt, communist party official uncle. The novel is a beautiful, tragic critique of the devastating effects of the Land Reform campaign in postwar Vietnam, exploring how ideological zealotry can tear families apart and destroy traditional cultural values.",,Novel
Dumb Luck,Vu Trong Phung,1936,Vietnam,South-Eastern Asia,Asia,,Vietnamese,195,"This brilliant, highly energetic Vietnamese satirical masterpiece follows Red-Haired Xuan, a cunning, impoverished street-vendor who rises to the highest ranks of Hanoi's high society during the late colonial era of the 1930s through a series of absurd, comical misunderstandings and frauds. Xuan's climb is facilitated by the wealthy, westernized bourgeois elites who are obsessed with the 'modernization' and 'reform' movements urged by French colonial authorities, mistaking Xuan's streetwise behavior for genius. Phụng's sharp, comic prose is a blistering critique of colonial bourgeois hypocrisy and cultural alienation.",,Novel
A High Wind in Jamaica,Richard Hughes,1929,UK,Northern Europe,Europe,,English,283,"Richard Hughes's celebrated short novel is a masterpiece of concentrated narrative. Its dreamlike action begins among the decayed plantation houses and overwhelming natural abundance of late nineteenth-century Jamaica, before moving out onto the high seas, as Hughes tells the story of a group of children thrown upon the mercy of a crew of down-at-the-heel pirates. A tale of seduction and betrayal, of accommodation and manipulation, of weird humor and unforeseen violence, this classic of twentieth-century literature is above all an extraordinary reckoning with the secret reasons and otherworldly realities of childhood.",,Novel
Feet in Chains,Kate Roberts,1936,UK,Northern Europe,Europe,,English,173,"Set in the slate-quarrying district of Gwynedd in northern Wales between 1880 and the end of World War I, this classic Welsh novel follows Jane Gruffydd and her family as they struggle against systemic poverty and the harsh realities of quarry life. Through Jane's quiet resilience, the narrative explores the devastating impact of industrial accidents, economic depression, and the tragic losses of the Great War on a tight-knit community. Roberts's spare, powerful realism constructs a beautiful, elegiac monument to the endurance and dignity of Welsh working-class families.",,Novel
Border Country,Raymond Williams,1960,UK,Northern Europe,Europe,,English,371,"The novel follows Matthew Price, a successful academic working in London, who returns to his native Welsh border village of Glynmawr to visit his dying father, Harry, a retired railway signalman. As Matthew stays in the village, the narrative moves back in time to the General Strike of 1926, tracing Harry's quiet life of moral integrity, political solidarity, and deep, silent connection to his work. Williams's rich, realist prose is a profound, beautifully written meditation on class mobility, the emotional divide between rural working-class origins and intellectual life, and the changing landscape of Wales.",,Novel
They Die Strangers,Mohammad Abdul-Wali,1977,Yemen,Western Asia,Asia,,Arabic,146,"They Die Strangers, a novella and thirteen short stories, is the first full-length work of the distinguished Yemeni writer Mohammad Abdul-Wali to appear in English. Abdul-Wali died tragically in an aviation accident, and his stories were collected after his death by the translators Abubaker Bagader and Deborah Akers. Abdul-Wali was born in Ethiopia of Arab Yemeni parents. His stories, filled with nostalgia and the bitterness of exile, deal with the common experiences of Yemenis like himself who are caught between cultures by the displacements of civil war or labor migration. His characters include women left behind, children raised without fathers, and men returning home after years of absence. He explores the human condition through the eyes of the oppressed and disenfranchised and is particularly sympathetic to the plight of women. Abdul-Wali writes in a realistic style, sparse and simple, a style that the translators have reproduced well in this volume.",,Novella
The Old Drift,Namwali Serpell,2019,Zambia,Eastern Africa,Africa,,English,576,,,Novel
A Cowrie of Hope,Binwell Sinyangwe,2000,Zambia,Eastern Africa,Africa,,English,152,,,Novel
The Stone Virgins,Yvonne Vera,2002,Zimbabwe,Eastern Africa,Africa,,English,191,,,Novel
Nervous Conditions,Tsitsi Dangarembga,1988,Zimbabwe,Eastern Africa,Africa,,English,205,"A modern classic from the Booker-shortlisted author of This Mournable BodyThe groundbreaking first novel in Tsitsi Dangarembga’s award-winning trilogy, Nervous Conditions, won the Commonwealth Writers Prize and has been ��hailed as one of the 20th century’s most significant works of African literature” (The New York Times). Two decades before Zimbabwe would win independence and ended white minority rule, thirteen-year-old Tambudzai Sigauke embarks on her education. On her shoulders rest the economic hopes of her parents, siblings, and extended family, and within her burns the desire for independence. She yearns to be free of the constraints of her rural village and thinks she’s found her way out when her wealthy uncle offers to sponsor her schooling. But she soon learns that the education she receives at his mission school comes with a price.",,Novel
Butterfly Burning,Yvonne Vera,1998,Zimbabwe,Eastern Africa,Africa,,English,153,,,Novel
The Ardent Swarm,Yamen Manai,2017,Tunisia,Northern Africa,Africa,1,French,193,,,Novel
Going Down River Road,Meja Mwangi,1976,Kenya,Eastern Africa,Africa,,English,213,,,Novel
Thirteenth Sun,Daniachew Worku,1973,Ethiopia,Eastern Africa,Africa,,English,172,,,Novel
Atom Station,Halldor Laxness,1955,Iceland,Northern Europe,Europe,,Icelandic,180,,,Novel
The Expedition to the Baobab Tree,Wilma Stockenstrom,1983,South Africa,Southern Africa,Africa,,Afrikaans,128,,,Novella
Lieutenant Gustl,Arthur Schnitzler,1900,Austria,Western Europe,Europe,,German,120,,,Novella
Lenz,George Buchner,1839,Germany,Western Europe,Europe,,German,128,,,Novella
Of Mice and Men,John Steinbeck,1937,USA,Northern America,North America,1,English,107,,,Novella
Sworn Virgin,Elvira Dones,2014,Albania,Southern Europe,Europe,,Italian,275,,,Novel
The Grapes of Wrath,John Steinbeck,1939,USA,Northern America,North America,1,English,464,A book from USA.,,Novel
Native Son,Richard Wright,1940,USA,Northern America,North America,,English,504,A book from USA.,,Novel
The Assistant,Bernard Malamud,1957,USA,Northern America,North America,,English,246,A book from USA.,,Novel
The Virgin Suicides,Jeffrey Eugenides,1993,USA,Northern America,North America,,English,249,A book from USA.,,Novel
Men of Maize,Miguel Angel Asturias,1949,Guatemala,Central America,Central America,,Spanish,466,,,Novel
By Night in Chile,Roberto Bolano,2000,Chile,South America,South America,,English,130,,,Novella
The Tiller of Waters,Hoda Barakat,1998,Lebanon,Western Asia,Asia,,English,176,,,Novel
A Walk in the Night,Alex La Guma,1962,South Africa,Southern Africa,Africa,,English,96,,,Novella
The Sand Fish,Maha Gargash,2009,United Arab Emirates,Western Asia,Asia,,English,320,,,Novel
The Dead Lake,Hamid Ismailov,2011,Uzbekistan,Central Asia,Asia,1,English,128,"A haunting Russian tale about the environmental legacy of the Cold War. Yerzhan grows up in a remote part of Soviet Kazakhstan where atomic weapons are tested. As a young boy he falls in love with the neighbour's daughter and one evening, to impress her, he dives into a forbidden lake. The radioactive water changes Yerzhan. He will never grow into a man. While the girl he loves becomes a beautiful woman. ------ Why Peirene chose to publish this book: 'Like a Grimm's fairy tale, this story transforms an innermost fear into an outward reality. We witness a prepubescent boy's secret terror of not growing up into a man. We also wander in a beautiful, fierce landscape unlike any other we find in Western literature. And by the end of Yerzhan's tale we are awe-struck by our human resilience in the face of catastrophic, man-made, follies.",,Novella
The Hostage,Zayd Mutee Dammaj,1984,Yemen,Western Asia,Asia,,English,164,,,Novel
Confessions,St. Augustine,400,Ancient Rome,Southern Europe,Europe,,Latin,300,A book from Algeria/Roman Empire.,,Nonfiction
The Symposium,Plato,370 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Nonfiction
Phaedrus,Plato,370 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,100,A book from Greece.,,Nonfiction
The Pillow Book,Sei Shonagon,1002,Japan,Eastern Asia,Asia,,Japanese,300,A book from Japan.,,Nonfiction
Essays in Idleness,Yoshida Kenko,1332,Japan,Eastern Asia,Asia,,Japanese,200,A book from Japan.,,Nonfiction
Six Chapters of a Floating Life,Shen Fu,1809,China,Eastern Asia,Asia,,Mandarin,176,"Six Records of a Floating Life (1809) is an extraordinary blend of autobiography, love story and social document written by a man who was educated as a scholar but earned his living as a civil servant and art dealer. In this intimate memoir, Shen Fu recounts the domestic and romantic joys of his marriage to Yün, the beautiful and artistic girl he fell in love with as a child. He also describes other incidents of his life, including how his beloved wife obtained a courtesan for him and reflects on his travels through China. Shen Fu's exquisite memoir shows six parallel 'layers' of one man's life, loves and career, with revealing glimpses into Chinese society of the Ch'ing Dynasty.",,Nonfiction
Essays,Michel de Montaigne,1580,France,Western Europe,Europe,,French,1200,A book from France.,,Nonfiction
The Life of Benvenuto Cellini,Benvenuto Cellini,1728,Italy,Southern Europe,Europe,,Italian,500,A book from Italy.,,Nonfiction
Confessions,Jean-Jacques Rousseau,1782,France,Western Europe,Europe,,French,600,A book from France/Switzerland.,,Nonfiction
Memoirs from Beyond the Grave,Francois-Rene de Chateaubriand,1849,France,Western Europe,Europe,,French,462,A book from France.,,Nonfiction
Confessions of an English Opium-Eater,Thomas De Quincey,1821,UK,Northern Europe,Europe,,English,200,A book from UK.,,Nonfiction
Walden,Henry David Thoreau,1854,USA,Northern America,North America,,English,350,A book from USA.,,Nonfiction
Narrative of the Life of Frederick Douglass,Frederick Douglass,1845,USA,Northern America,North America,,English,150,A book from USA.,,Nonfiction
The Education of Henry Adams,Henry Adams,1907,USA,Northern America,North America,,English,500,A book from USA.,,Nonfiction
Confession,Leo Tolstoy,1882,Russia,Eastern Europe,Europe,,Russian,100,A book from Russia.,,Nonfiction
Inferno,August Strindberg,1897,Sweden,Northern Europe,Europe,,Swedish,250,A book from Sweden.,,Nonfiction
De Profundis,Oscar Wilde,1905,Ireland,Northern Europe,Europe,,English,100,A book from Ireland/UK.,,Nonfiction
The Book of Disquiet,Fernando Pessoa,1982,Portugal,Southern Europe,Europe,,Portuguese,300,A book from Portugal.,,Nonfiction
The Islandman,Tomas O Criomhthain,1929,Ireland,Northern Europe,Europe,,Irish,250,A book from Ireland.,,Nonfiction
Autobiographies,W.B. Yeats,1926,Ireland,Northern Europe,Europe,,English,500,A book from Ireland.,,Nonfiction
An Only Child,Frank O'Connor,1961,Ireland,Northern Europe,Europe,,English,280,A book from Ireland.,,Nonfiction
A Room of One's Own,Virginia Woolf,1929,UK,Northern Europe,Europe,1,English,100,A book from UK.,,Nonfiction
Goodbye to All That,Robert Graves,1929,UK,Northern Europe,Europe,,English,350,A book from UK.,,Nonfiction
Homage to Catalonia,George Orwell,1938,UK,Northern Europe,Europe,1,English,250,A book from UK.,,Nonfiction
"Speak, Memory",Vladimir Nabokov,1951,USA,Northern America,North America,,English,250,A book from USA/Russia.,,Nonfiction
Let Us Now Praise Famous Men,James Agee,1941,USA,Northern America,North America,,English,480,A book from USA.,,Nonfiction
The Autobiography of Malcolm X,Malcolm X,1965,USA,Northern America,North America,1,English,460,A book from USA.,,Nonfiction
Black Boy,Richard Wright,1945,USA,Northern America,North America,,English,300,A book from USA.,,Nonfiction
The Noise of Time,Osip Mandelstam,1925,Russia,Eastern Europe,Europe,,Russian,150,A book from Russia.,,Nonfiction
Hope Against Hope,Nadezhda Mandelstam,1970,Russia,Eastern Europe,Europe,,Russian,400,A book from Russia.,,Nonfiction
Childhood,Maxim Gorky,1913,Russia,Eastern Europe,Europe,,Russian,300,A book from Russia.,,Nonfiction
The World of Yesterday,Stefan Zweig,1942,Austria,Western Europe,Europe,,German,500,A book from Austria.,,Nonfiction
A Sorrow Beyond Dreams,Peter Handke,1972,Austria,Western Europe,Europe,,German,110,A book from Austria.,,Nonfiction
One-Way Street,Walter Benjamin,1928,Germany,Western Europe,Europe,,German,100,A book from Germany.,,Nonfiction
Diaries,Franz Kafka,1923,Czechia,Eastern Europe,Europe,,German,500,A book from Bohemia/Austria.,,Nonfiction
The Tongue Set Free,Elias Canetti,1977,Bulgaria,Eastern Europe,Europe,,German,310,A book from Bulgaria/UK.,,Nonfiction
The Trouble with Being Born,Emil Cioran,1973,Romania,Eastern Europe,Europe,,French,200,A book from Romania/France.,,Nonfiction
The Captive Mind,Czeslaw Milosz,1953,Poland,Eastern Europe,Europe,,Polish,300,A book from Poland.,,Nonfiction
My Century,Aleksander Wat,1977,Poland,Eastern Europe,Europe,,Polish,500,A book from Poland.,,Nonfiction
The Emperor,Ryszard Kapuscinski,1978,Poland,Eastern Europe,Europe,,Polish,192,"After the deposition of Haile Selassie in 1974, which ended the ancient rule of the Abyssinian monarchy, Ryszard Kapuscinski travelled to Ethiopia and sought out surviving courtiers to tell their stories. Here, their eloquent and ironic voices depict the lavish, corrupt world they had known - from the rituals, hierarchies and intrigues at court to the vagaries of a ruler who maintained absolute power over his impoverished people. They describe his inexorable downfall as the Ethiopian military approach, strange omens appear in the sky and courtiers vanish, until only the Emperor and his valet remain in the deserted palace, awaiting their fate. Dramatic and mesmerising, The Emperor is one of the great works of reportage and a haunting epitaph on the last moments of a dying regime.",,Nonfiction
Dossier K,Imre Kertesz,2006,Hungary,Eastern Europe,Europe,,Hungarian,200,A book from Hungary.,,Nonfiction
Signs by the Roadside,Ivo Andric,1976,Bosnia,Southern Europe,Europe,,Serbo-Croatian,280,A book from Bosnia/Yugoslavia.,,Nonfiction
Markings,Dag Hammarskjold,1963,Sweden,Northern Europe,Europe,,Swedish,250,A book from Sweden.,,Nonfiction
